logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 K562_Rep1_K562_batch1 K562_Rep2_K562_batch1
6.44039003768509 6.90618756817543 5.09044119931893e-54 ENSG00000239857.6 6.2536070133633e-50 2 2 338 180
10.907335044411 7.0195149013624 9.03717972828889e-54 ENSG00000262660.1 1.11021752962029e-49 0 0 403 176
5.707304328144 7.29939509378003 3.31798411484851e-53 ENSG00000182154.7 4.0761434850914e-49 4 5 465 225
-10.756932445533 6.75682266948955 5.39464892887695e-53 ENSG00000259112.2 6.62732620912534e-49 157 201 0 0
6.33135976825528 6.80256864332044 9.41605491414017e-53 ENSG00000065268.10 1.15676234620212e-48 2 2 307 171
-5.05074544129988 7.05135788047938 1.11765403976198e-52 ENSG00000214114.8 1.37303798784759e-48 205 221 14 4
4.89702999332446 7.48200995438419 8.68231842644992e-52 ENSG00000160200.17 1.06662281868937e-47 9 9 443 305
11.269787600471 7.37139940127924 1.19107683584772e-51 ENSG00000265257.5 1.46323789283892e-47 0 0 548 209
4.44320868465691 7.51459097583871 1.75800920918778e-51 ENSG00000137409.19 2.15971431348718e-47 12 13 485 285
-10.2044575700455 6.19841447199444 7.81111349528066e-51 ENSG00000170180.21 9.5959529289523e-47 122 123 0 0
4.09717994351951 8.21716463143887 8.75108983256112e-51 ENSG00000112576.12 1.07507138593013e-46 27 25 818 447
10.3611415705085 6.49306731765495 1.09017320703351e-50 ENSG00000078808.16 1.33927778484066e-46 0 0 230 150
-4.30412498307122 8.25787261883231 1.78720485555781e-50 ENSG00000068985.4 2.19558116505277e-46 456 498 49 20
5.22353037032603 6.98432309849857 2.25348229407954e-50 ENSG00000261236.7 2.76840299827672e-46 5 5 348 191
6.26848740500334 7.98207183597114 2.62789524901445e-50 ENSG00000263020.6 3.22836931341425e-46 6 4 836 323
4.55044964734981 7.3038648101017 2.86417742955095e-50 ENSG00000105373.18 3.51864197220334e-46 11 9 412 250
12.2065550752852 8.28348818287544 6.19644746580638e-50 ENSG00000227097.5 7.61233571174313e-46 0 0 1133 353
10.3395162222567 6.47409248503064 7.02528795749786e-50 ENSG00000267426.5 8.63056625578612e-46 0 0 250 132
4.253259797957 7.68009430050382 1.38823241737394e-49 ENSG00000106682.14 1.70544352474389e-45 17 15 519 334
4.26718456058895 7.55465810052252 2.10575527426917e-48 ENSG00000168209.4 2.58692035443967e-44 17 12 479 303
-4.33161156978561 7.07254998700642 3.21869731324286e-48 ENSG00000237311.1 3.95416964931885e-44 214 209 16 13
6.15916291594031 6.64053534261441 4.31170697186614e-48 ENSG00000106348.17 5.29693201493756e-44 2 2 278 148
-4.78319313281963 11.4191544088702 4.60799616959436e-48 ENSG00000147403.16 5.66092329434667e-44 4314 4275 321 134
5.40432829503412 7.15115660023182 8.53137343087391e-48 ENSG00000160789.19 1.04807922598286e-43 5 5 339 252
5.55411500003214 7.14818425410579 1.3862774208659e-47 ENSG00000066044.14 1.70304181153376e-43 5 4 336 254
