gene	logFC	logCPM	PValue	adj_pval	Status
ABI1	1.13946738945477	5.21472901050817	0.0191029499386991	1	NoDE
ABI2	-1.99621612110924	3.77796975293163	0.00880111919856106	1	NoDE
ABI3	0	1.36117483691085	1	1	NoDE
ABL1	1.6723192882466	4.04265366600688	0.0121320572672599	1	NoDE
ABLIM1	-7.32758720641458	3.91062096807115	2.40034309382947e-08	0.000395744565879665	Down
ABO	3.66383266582318	1.81859791889551	0.263258435735176	1	NoDE
ABR	-2.85105332942833	2.46833606219892	0.0346799549165207	1	NoDE
ABRACL	-2.54880008420929	2.35235825606179	0.149470278845972	1	NoDE
ABRAXAS1	1.41135646332378	5.15734044588226	0.00261845745500121	1	NoDE
ABRAXAS2	-0.0592338639143028	3.80405225549406	1	1	NoDE
ABT1	0.037475289263672	7.53256608812972	0.926918897968808	1	NoDE
ABTB1	-3.74145619445468	2.97067638029954	0.00142053979447393	1	NoDE
ABTB2	0	1.36117483691085	1	1	NoDE
AC000068.1	-0.0402839993266543	1.94056027062924	1	1	NoDE
AC000068.3	0	1.36117483691085	1	1	NoDE
AC000089.1	0	1.36117483691085	1	1	NoDE
AC000120.2	-1.8306842601114	2.0731106444265	0.39614638119673	1	NoDE
AC000123.2	0	1.36117483691085	1	1	NoDE
AC000123.3	0	1.36117483691085	1	1	NoDE
AC002056.1	0	1.36117483691085	1	1	NoDE
AC002064.3	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC002091.2	0	1.36117483691085	1	1	NoDE
AC002094.1	0.460468722486729	2.04474713035844	1	1	NoDE
AC002116.2	0.618412619940366	2.37828518851916	0.745007542473757	1	NoDE
AC002310.1	-0.440596366605512	2.24490121435957	1	1	NoDE
AC002310.2	1.71261696150083	2.07931902881063	0.397253004920118	1	NoDE
AC002310.6	0	1.36117483691085	1	1	NoDE
AC002350.1	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC002401.2	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC002401.3	0	1.36117483691085	1	1	NoDE
AC002454.1	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC002456.1	0	1.36117483691085	1	1	NoDE
AC002467.1	1.44631482275777	2.9521342222986	0.170217902940148	1	NoDE
AC002470.1	-0.116922792185934	2.35479901935619	1	1	NoDE
AC002480.1	3.66383266582318	1.81859791889551	0.263258435735176	1	NoDE
AC002524.1	-2.3700731841295	1.53824417934498	0.999999999999999	1	NoDE
AC002553.1	0	1.36117483691085	1	1	NoDE
AC003092.1	0	1.36117483691085	1	1	NoDE
AC003102.1	0.751590095406561	1.82072608220689	1	1	NoDE
AC003965.1	0	1.36117483691085	1	1	NoDE
AC003973.3	0	1.36117483691085	1	1	NoDE
AC004057.1	1.28047950258054	10.2641029555117	0.00049051082979825	1	NoDE
AC004076.1	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC004076.2	0	1.36117483691085	1	1	NoDE
AC004130.1	0	1.36117483691085	1	1	NoDE
AC004224.1	0	1.36117483691085	1	1	NoDE
AC004232.3	0	1.36117483691085	1	1	NoDE
AC004233.3	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC004241.1	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC004241.2	0	1.36117483691085	1	1	NoDE
AC004241.3	0	1.36117483691085	1	1	NoDE
