gene	logFC	logCPM	PValue	adj_pval	Status
AC002116.2	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC002310.1	0.20910697868911	4.25718871792644	1	1	NoDE
AC002310.2	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002310.6	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC002350.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002401.2	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002401.3	-3.04873417201788	3.99739339910455	0.509876961469158	1	NoDE
AC002454.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002456.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002467.1	-0.668202215734494	4.14332840078721	1	1	NoDE
AC002470.1	-1.52767301779502	4.38372609037992	0.639410842193879	1	NoDE
AC002480.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002524.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002553.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC003092.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC003102.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC003965.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC003973.3	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC004057.1	1.27589787139997	7.48803911962725	0.00509715869081761	1	NoDE
AC004076.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC004076.2	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC004130.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC004224.1	-2.22122199262812	3.85036194419904	0.999999999999999	1	NoDE
AC004232.3	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC004233.3	-4.53079419020779	4.48353943657499	0.0752857773975135	1	NoDE
AC004241.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC004241.2	-2.25158508896242	3.86072184680532	0.999999999999999	1	NoDE
AC004241.3	2.56274120305193e-15	3.68555568352988	1	1	NoDE
