gene	logFC	logCPM	PValue	adj_pval	Status
LINC01670	14.5122823343059	4.71523601844183	1.95403352277632e-98	1.75296347328263e-94	UP
LINC01709	-13.3316883730362	3.21234906416362	1.45050073047524e-36	1.30124420530934e-32	Down
LINC02001	15.2101025216086	5.38209180793537	1.73466691590906e-118	1.55616969026202e-114	UP
LINC02163	11.1444169331376	1.68647258672457	4.74152759172407e-30	4.25362440253567e-26	UP
LINC02193	12.8897627353059	3.21698686568148	1.35584893219677e-50	1.21633207707372e-46	UP
LINC02210	10.0131702520422	0.712528069705364	3.91293847477257e-17	3.51029710571847e-13	UP
LINC02365	-10.4959338805221	-0.871731442499374	1.28034923090637e-24	1.1486012950461e-20	Down
LINC02404	13.1643571659258	3.46492868389599	3.93165320300139e-63	3.52708608841255e-59	UP
LINC02413	-11.6535658171689	0.977174000512164	4.68439392337825e-40	4.20236978866263e-36	Down
LINC02432	12.1293395677292	2.54203930369245	4.14744092120892e-46	3.72066925041652e-42	UP
LINC02482	9.69408854476543	0.436920083207723	7.22414894868049e-14	6.48078402186127e-10	UP
LINC02506	11.3408630593738	1.8559940075452	5.96562855871506e-33	5.35176538002328e-29	UP
LINC02525	-12.4497244069753	2.11502531264643	1.7295965833727e-48	1.55162109494365e-44	Down
LINC02542	-11.7005141986423	1.03708281663608	3.44583595832846e-48	3.09125943821647e-44	Down
LINC02573	11.1374761030905	1.68048879487901	6.4144508747251e-30	5.75440387971589e-26	UP
LINC02575	-12.8867883739143	2.66928270517823	5.67992504826954e-80	5.0954607608026e-76	Down
LINC02577	14.521993622706	4.72442954121425	4.97792931454537e-97	4.46570038807865e-93	UP
LINC02585	-7.91584338426787	-3.57177361811659	4.18529668769941e-05	0.375462965853514	NoDE
LINS1	13.6625550798288	3.9206058758595	2.15547511910142e-76	1.93367672934589e-72	UP
LIPA	-15.4061847634714	5.46430885382521	3.64989302428407e-137	3.27431903208524e-133	Down
LIPC	-13.7381682916234	3.67216329073814	3.95967391542883e-97	3.5522234695312e-93	Down
LIPT1	11.5877768039137	2.06991630762695	5.87161840678418e-28	5.26742887272609e-24	UP
LITAF	-3.45288985086001	6.81506337756652	3.6287604424176e-54	3.25536099289283e-50	Down
LIVAR	-10.8805350880617	-0.277253791110428	1.06096690156417e-29	9.51793407393213e-26	Down
LLGL1	-13.9657464473119	3.92608140498028	3.37080883356069e-112	3.0239526045873e-108	Down
LLGL2	-15.6928837321724	5.76040575811817	6.77041179383811e-139	6.07373642025217e-135	Down
LLPH	2.84300556509199	5.00569456860428	2.19489329888904e-37	1.96903877843336e-33	UP
LMAN1	-1.46629110616792	7.80653956064277	1.37356472499883e-13	1.23222491479645e-09	NoDE
LMAN2	-3.98745375841328	6.33426088372899	2.90965209291572e-75	2.61024889255469e-71	Down
LMAN2L	-0.487943482207699	5.75574045195373	0.0364450279395961	1	NoDE
LMBR1L	-13.2161350590441	3.06766539869324	5.0921882342183e-95	4.56820206491724e-91	Down
LMBRD1	2.8329678912288	5.60762252634479	1.08379712003319e-35	9.72274396381772e-32	UP
LMF2	-15.3151205440952	5.36907731146649	1.45071330185689e-155	1.30143490309582e-151	Down
LMNA	-16.7061507693159	6.79709030149318	1.61852669887763e-215	1.45198030156312e-211	Down
LMNB1	-14.9304662502797	4.96787074781191	2.15543380682916e-77	1.93363966810644e-73	Down
LMNB2	-16.4564445201074	6.54308850673831	1.44157034629178e-207	1.29323275765836e-203	Down
LMO2	13.0810216611571	3.38943974884186	2.32428441467061e-65	2.085115548401e-61	UP
LMO4	-13.6865603381878	3.6062369568221	9.13853191220891e-40	8.19817697844262e-36	Down
LMO7	-15.2565550140427	5.30941330755345	3.80848448034663e-86	3.41659142731896e-82	Down
LMTK2	-15.1469439211088	5.19366063459371	5.46409309204988e-159	4.90183791287795e-155	Down
LNPK	-12.8938050894221	2.6786550934041	1.699651278115e-75	1.52475716159696e-71	Down
LONP1	-16.4070411223341	6.49255013615088	2.02033879271629e-160	1.81244593094578e-156	Down
LONP2	0.707760873108874	5.20034696763786	0.000851181967418786	1	NoDE
LONRF1	-13.8197859791918	3.76588792811415	2.92865618062218e-68	2.62729745963616e-64	Down
LOX	-15.5042461853097	5.5672405919742	3.95944820552505e-68	3.55202098517653e-64	Down
LOXL4	-14.7116826042391	4.73302116878077	1.33303963854508e-84	1.19586985973879e-80	Down
LPAR6	-13.8614737701772	3.81019577593555	9.13845394816098e-107	8.19810703689521e-103	Down
LPCAT1	-17.1965298716343	7.29393046505813	7.63547156950161e-235	6.84978154499989e-231	Down
LPCAT3	-14.8523438217631	4.88441406195782	1.33312423742828e-113	1.19594575339691e-109	Down
LPCAT4	-12.7752500041482	2.51602933533569	9.09273486171445e-32	8.15709244444404e-28	Down
LPIN1	13.7534422706433	4.00457581715056	3.10761407887238e-78	2.78784059015641e-74	UP
LPIN2	-16.893049629656	6.98642167342867	2.03167884556411e-138	1.82261909235556e-134	Down
LPIN3	-14.7118410734123	4.73467578827215	5.62463173238251e-140	5.04585712712035e-136	Down
