logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_Rep1_GM12878_batch1 GM12878_Rep2_GM12878_batch1
3.95281374667979 9.14379728891459 8.4063167139309e-24 ENSG00000162511.7 1.05726245311109e-19 59 46 868 1082
4.64394631017369 6.63087245450837 9.45724708069421e-24 ENSG00000085117.11 1.18943796533891e-19 4 7 156 181
6.22147247793661 5.87422588471396 1.83594989735315e-23 ENSG00000108774.14 2.30907418590106e-19 0 2 77 127
3.91623773609484 8.84461371420036 1.86662412316124e-23 ENSG00000169100.13 2.34765315969989e-19 21 63 699 881
-4.49174050603962 6.50184711003318 2.19621860712506e-23 ENSG00000126247.10 2.76218414218119e-19 75 182 7 7
-5.11871358028693 5.91798637952601 2.30984000306838e-23 ENSG00000277443.2 2.90508577185911e-19 97 82 2 4
9.28050201617804 5.61974962948144 2.46738060330752e-23 ENSG00000271810.5 3.10322458477987e-19 0 0 84 82
5.13759749982449 6.27142338158428 2.66414863840282e-23 ENSG00000179632.9 3.35069974251923e-19 2 4 115 150
4.66989020155666 6.51970339523011 3.67970026089686e-23 ENSG00000065135.10 4.62795901812999e-19 5 5 133 182
-4.18508483048488 6.76189215733475 3.70239630455729e-23 ENSG00000154165.4 4.6565038322417e-19 253 73 6 15
5.45167101421621 6.02837426481778 3.8724182878966e-23 ENSG00000186575.17 4.87034048068756e-19 2 2 84 143
-9.1307990644037 5.38737976802498 4.12071908368283e-23 ENSG00000255302.4 5.18262839154789e-19 56 69 0 0
9.24722878358653 5.59197414577993 4.50853388882604e-23 ENSG00000277726.4 5.67038307197651e-19 0 0 73 92
-9.11906893236789 5.37392214101699 5.1176745067865e-23 ENSG00000263585.1 6.43649922718538e-19 47 76 0 0
4.60774320905347 6.61113882163207 6.06980789331538e-23 ENSG00000125970.11 7.63399738742275e-19 2 9 118 225
3.97073672321206 7.5788394227958 6.09093120440306e-23 ENSG00000165280.15 7.66056417577773e-19 14 20 277 378
-9.092311716182 5.35081884781759 7.97089359989835e-23 ENSG00000222041.11 1.00249928805922e-18 57 65 0 0
9.21511330216304 5.56399176504049 8.31213685397498e-23 ENSG00000285238.2 1.04541745212443e-18 0 0 66 97
9.223906704536 5.5697467090433 8.38055566954745e-23 ENSG00000285589.1 1.05402248655898e-18 0 0 73 89
