logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_ONT_Rep1_GM12878_batch1 GM12878_ONT_Rep2_GM12878_batch1
4.67329958075744 8.68717527520852 1.29502296265968e-25 ENSG00000137309.19 1.59922385658843e-21 15 28 196 248
10.0920024623334 7.02644089959476 1.42567849262299e-25 ENSG00000265257.5 1.76057037054013e-21 0 0 83 71
-10.4805229658752 7.70561573257246 1.79853094060597e-25 ENSG00000211666.2 2.22100585855431e-21 297 216 0 0
6.81884749528641 7.00391781786225 2.60344219595317e-25 ENSG00000184640.17 3.21499076778257e-21 0 3 71 80
-4.23793601855922 10.2490021309476 4.88188658865682e-25 ENSG00000182117.5 6.02864174833231e-21 1510 1558 38 26
-10.391746643334 7.62350878193941 1.22370124989759e-24 ENSG00000198563.13 1.51114867349854e-20 259 222 0 0
-10.3708307326062 7.60521910123224 1.82028164425754e-24 ENSG00000015479.18 2.24786580249363e-20 329 150 0 0
-4.0500515484159 10.6729635827282 2.32938836905108e-24 ENSG00000241468.7 2.87656169694117e-20 2253 1871 53 45
7.18066412690126 6.83905316501593 5.05658269043788e-24 ENSG00000263020.6 6.24437396442174e-20 0 2 65 71
-10.3109869245037 7.54928959667612 6.13417417147783e-24 ENSG00000239900.12 7.57509168435797e-20 248 207 0 0
9.89892291154872 6.82273950068775 6.63162696663142e-24 ENSG00000105329.9 8.18939614109315e-20 0 0 60 76
-3.81778072344037 11.6976823063879 1.41076927201526e-23 ENSG00000187514.16 1.74215897401165e-19 3362 4921 122 112
-10.2637531639313 7.50565131012565 1.5402287278314e-23 ENSG00000008952.16 1.90202845599899e-19 220 219 0 0
-10.2619309333839 7.50365775784964 1.69991595241323e-23 ENSG00000133983.14 2.0992262096351e-19 198 239 0 0
-3.92765119780278 10.6190896176036 2.72355978572361e-23 ENSG00000169020.9 3.36332397939008e-19 1619 2295 47 56
-10.2237948649701 7.46903273565044 3.47850205875327e-23 ENSG00000234964.4 4.29560219235441e-19 214 213 0 0
